split,condition,class,filename,source_id,load_hp,subset_group,signal_key,rpm,window_index,window_start,window_end
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,0,0,2048
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,1,1024,3072
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,2,2048,4096
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,3,3072,5120
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,4,4096,6144
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,5,5120,7168
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,6,6144,8192
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,7,7168,9216
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,8,8192,10240
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,9,9216,11264
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,10,10240,12288
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,11,11264,13312
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,12,12288,14336
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,13,13312,15360
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,14,14336,16384
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,15,15360,17408
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,16,16384,18432
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,17,17408,19456
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,18,18432,20480
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,19,19456,21504
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,20,20480,22528
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,21,21504,23552
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,22,22528,24576
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,23,23552,25600
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,24,24576,26624
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,25,25600,27648
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,26,26624,28672
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,27,27648,29696
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,28,28672,30720
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,29,29696,31744
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,30,30720,32768
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,31,31744,33792
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,32,32768,34816
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,33,33792,35840
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,34,34816,36864
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,35,35840,37888
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,36,36864,38912
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,37,37888,39936
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,38,38912,40960
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,39,39936,41984
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,40,40960,43008
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,41,41984,44032
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,42,43008,45056
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,43,44032,46080
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,44,45056,47104
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,45,46080,48128
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,46,47104,49152
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,47,48128,50176
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,48,49152,51200
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,49,50176,52224
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,50,51200,53248
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,51,52224,54272
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,52,53248,55296
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,53,54272,56320
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,54,55296,57344
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,55,56320,58368
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,56,57344,59392
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,57,58368,60416
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,58,59392,61440
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,59,60416,62464
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,60,61440,63488
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,61,62464,64512
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,62,63488,65536
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,63,64512,66560
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,64,65536,67584
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,65,66560,68608
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,66,67584,69632
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,67,68608,70656
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,68,69632,71680
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,69,70656,72704
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,70,71680,73728
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,71,72704,74752
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,72,73728,75776
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,73,74752,76800
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,74,75776,77824
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,75,76800,78848
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,76,77824,79872
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,77,78848,80896
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,78,79872,81920
train,healthy,normal,normal_0.mat,97,0,normal,X097_DE_time,1796,79,80896,82944
