split,subset,health_status,damage_group,fault_label_int,fault_label_name,label_verification,label_support_files_present,bearing_code,condition_code,speed_code,torque_code,radial_force_code,repeat_index,filename,relative_path,measurement_id,selected_signal,available_channels,signal_length,window_index,window_start,window_end
train,train_healthy,healthy,,,,inferred_bearing_code_family,true,K001,N09_M07_F10,N09,M07,F10,1,N09_M07_F10_K001_1.mat,data/raw/paderborn/K001/N09_M07_F10_K001_1.mat,N09_M07_F10_K001_1,vibration_1,force|phase_current_1|phase_current_2|speed|temp_2_bearing_module|torque|vibration_1,256823,0,0,2048
val,val_healthy,healthy,,,,inferred_bearing_code_family,true,K001,N09_M07_F10,N09,M07,F10,1,N09_M07_F10_K001_1.mat,data/raw/paderborn/K001/N09_M07_F10_K001_1.mat,N09_M07_F10_K001_1,vibration_1,force|phase_current_1|phase_current_2|speed|temp_2_bearing_module|torque|vibration_1,256823,0,178956,181004
test,test_healthy,healthy,,,,inferred_bearing_code_family,true,K001,N09_M07_F10,N09,M07,F10,1,N09_M07_F10_K001_1.mat,data/raw/paderborn/K001/N09_M07_F10_K001_1.mat,N09_M07_F10_K001_1,vibration_1,force|phase_current_1|phase_current_2|speed|temp_2_bearing_module|torque|vibration_1,256823,0,218913,220961
train,train_healthy,healthy,,,,inferred_bearing_code_family,true,K001,N15_M01_F10,N15,M01,F10,1,N15_M01_F10_K001_1.mat,data/raw/paderborn/K001/N15_M01_F10_K001_1.mat,N15_M01_F10_K001_1,vibration_1,force|phase_current_1|phase_current_2|speed|temp_2_bearing_module|torque|vibration_1,256070,3421,0,2048
val,val_healthy,healthy,,,,inferred_bearing_code_family,true,K001,N15_M01_F10,N15,M01,F10,1,N15_M01_F10_K001_1.mat,data/raw/paderborn/K001/N15_M01_F10_K001_1.mat,N15_M01_F10_K001_1,vibration_1,force|phase_current_1|phase_current_2|speed|temp_2_bearing_module|torque|vibration_1,256070,703,178429,180477
test,test_healthy,healthy,,,,inferred_bearing_code_family,true,K001,N15_M01_F10,N15,M01,F10,1,N15_M01_F10_K001_1.mat,data/raw/paderborn/K001/N15_M01_F10_K001_1.mat,N15_M01_F10_K001_1,vibration_1,force|phase_current_1|phase_current_2|speed|temp_2_bearing_module|torque|vibration_1,256070,703,218273,220321
train,train_healthy,healthy,,,,inferred_bearing_code_family,true,K001,N15_M07_F04,N15,M07,F04,1,N15_M07_F04_K001_1.mat,data/raw/paderborn/K001/N15_M07_F04_K001_1.mat,N15_M07_F04_K001_1,vibration_1,force|phase_current_1|phase_current_2|speed|temp_2_bearing_module|torque|vibration_1,258669,6841,0,2048
val,val_healthy,healthy,,,,inferred_bearing_code_family,true,K001,N15_M07_F04,N15,M07,F04,1,N15_M07_F04_K001_1.mat,data/raw/paderborn/K001/N15_M07_F04_K001_1.mat,N15_M07_F04_K001_1,vibration_1,force|phase_current_1|phase_current_2|speed|temp_2_bearing_module|torque|vibration_1,258669,1404,180249,182297
test,test_healthy,healthy,,,,inferred_bearing_code_family,true,K001,N15_M07_F04,N15,M07,F04,1,N15_M07_F04_K001_1.mat,data/raw/paderborn/K001/N15_M07_F04_K001_1.mat,N15_M07_F04_K001_1,vibration_1,force|phase_current_1|phase_current_2|speed|temp_2_bearing_module|torque|vibration_1,258669,1405,220482,222530
train,train_healthy,healthy,,,,inferred_bearing_code_family,true,K001,N15_M07_F10,N15,M07,F10,1,N15_M07_F10_K001_1.mat,data/raw/paderborn/K001/N15_M07_F10_K001_1.mat,N15_M07_F10_K001_1,vibration_1,force|phase_current_1|phase_current_2|speed|temp_2_bearing_module|torque|vibration_1,256001,10272,0,2048
val,val_healthy,healthy,,,,inferred_bearing_code_family,true,K001,N15_M07_F10,N15,M07,F10,1,N15_M07_F10_K001_1.mat,data/raw/paderborn/K001/N15_M07_F10_K001_1.mat,N15_M07_F10_K001_1,vibration_1,force|phase_current_1|phase_current_2|speed|temp_2_bearing_module|torque|vibration_1,256001,2111,178381,180429
test,test_healthy,healthy,,,,inferred_bearing_code_family,true,K001,N15_M07_F10,N15,M07,F10,1,N15_M07_F10_K001_1.mat,data/raw/paderborn/K001/N15_M07_F10_K001_1.mat,N15_M07_F10_K001_1,vibration_1,force|phase_current_1|phase_current_2|speed|temp_2_bearing_module|torque|vibration_1,256001,2112,218214,220262
test,test_fault,damaged,KA,0,KA,inferred_bearing_code_family,true,KA01,N09_M07_F10,N09,M07,F10,1,N09_M07_F10_KA01_1.mat,data/raw/paderborn/KA01/N09_M07_F10_KA01_1.mat,N09_M07_F10_KA01_1,vibration_1,force|phase_current_1|phase_current_2|speed|temp_2_bearing_module|torque|vibration_1,256001,0,0,2048
test,test_fault,damaged,KA,0,KA,inferred_bearing_code_family,true,KA01,N15_M01_F10,N15,M01,F10,1,N15_M01_F10_KA01_1.mat,data/raw/paderborn/KA01/N15_M01_F10_KA01_1.mat,N15_M01_F10_KA01_1,vibration_1,force|phase_current_1|phase_current_2|speed|temp_2_bearing_module|torque|vibration_1,256077,4980,0,2048
test,test_fault,damaged,KA,0,KA,inferred_bearing_code_family,true,KA01,N15_M07_F04,N15,M07,F04,1,N15_M07_F04_KA01_1.mat,data/raw/paderborn/KA01/N15_M07_F04_KA01_1.mat,N15_M07_F04_KA01_1,vibration_1,force|phase_current_1|phase_current_2|speed|temp_2_bearing_module|torque|vibration_1,256088,9959,0,2048
test,test_fault,damaged,KA,0,KA,inferred_bearing_code_family,true,KA01,N15_M07_F10,N15,M07,F10,1,N15_M07_F10_KA01_1.mat,data/raw/paderborn/KA01/N15_M07_F10_KA01_1.mat,N15_M07_F10_KA01_1,vibration_1,force|phase_current_1|phase_current_2|speed|temp_2_bearing_module|torque|vibration_1,256000,14957,0,2048
test,test_fault,damaged,KB,1,KB,inferred_bearing_code_family,true,KB23,N09_M07_F10,N09,M07,F10,1,N09_M07_F10_KB23_1.mat,data/raw/paderborn/KB23/N09_M07_F10_KB23_1.mat,N09_M07_F10_KB23_1,vibration_1,force|phase_current_1|phase_current_2|speed|temp_2_bearing_module|torque|vibration_1,256001,239390,0,2048
test,test_fault,damaged,KB,1,KB,inferred_bearing_code_family,true,KB23,N15_M01_F10,N15,M01,F10,1,N15_M01_F10_KB23_1.mat,data/raw/paderborn/KB23/N15_M01_F10_KB23_1.mat,N15_M01_F10_KB23_1,vibration_1,force|phase_current_1|phase_current_2|speed|temp_2_bearing_module|torque|vibration_1,256000,244368,0,2048
test,test_fault,damaged,KB,1,KB,inferred_bearing_code_family,true,KB23,N15_M07_F04,N15,M07,F04,1,N15_M07_F04_KB23_1.mat,data/raw/paderborn/KB23/N15_M07_F04_KB23_1.mat,N15_M07_F04_KB23_1,vibration_1,force|phase_current_1|phase_current_2|speed|temp_2_bearing_module|torque|vibration_1,256072,249378,0,2048
test,test_fault,damaged,KB,1,KB,inferred_bearing_code_family,true,KB23,N15_M07_F10,N15,M07,F10,1,N15_M07_F10_KB23_1.mat,data/raw/paderborn/KB23/N15_M07_F10_KB23_1.mat,N15_M07_F10_KB23_1,vibration_1,force|phase_current_1|phase_current_2|speed|temp_2_bearing_module|torque|vibration_1,256001,254379,0,2048
test,test_fault,damaged,KI,2,KI,inferred_bearing_code_family,true,KI01,N09_M07_F10,N09,M07,F10,1,N09_M07_F10_KI01_1.mat,data/raw/paderborn/KI01/N09_M07_F10_KI01_1.mat,N09_M07_F10_KI01_1,vibration_1,force|phase_current_1|phase_current_2|speed|temp_2_bearing_module|torque|vibration_1,256001,299313,0,2048
